trigger_family,tier,n_params,asr_pre_mean,asr_pre_lo,asr_pre_hi,asr_post_mean,asr_post_lo,asr_post_hi,clean_acc_pre,clean_acc_post,bps_mean,bps_lo,bps_hi,lss_baseline_mean,lss_triggered_mean,delta_lss_mean,delta_lss_lo,delta_lss_hi,lss_min_mean,ods_mean,ods_lo,ods_hi,crsc_mean,crsc_lo,crsc_hi
rare_token,Tier-1,881,0.1187909243185625,0.049170696199470953,0.18841115243765405,0.10872544540886246,0.04419736588633502,0.1732535249313899,1.0,1.0,0.11295670270544642,0.045297542771213686,0.18061586263967916,0.693535041809082,0.9632257461547852,-0.26969070434570314,-0.30474169612553126,-0.23463971256587499,0.9632257461547852,0.034005188196897504,0.027045030206816943,0.040965346186978065,0.06626335764227373,0.039323841956931976,0.09320287332761548
rare_token,Tier-2,1761,0.2655753515049998,0.24175644190310414,0.2893942611068954,0.2504745951982133,0.22553229275227113,0.27541689764415545,1.0,1.0,0.2581269986295112,0.23595022631411944,0.280303770944903,0.7072003364562989,0.948214316368103,-0.2410139799118042,-0.2731884113232537,-0.2088395485003547,0.948214316368103,0.05522859916090965,0.04892120970556842,0.061535988616250877,0.1298635694620323,0.11778819796689262,0.141938940957172
rare_token,Tier-3,5569,0.9445662656717934,0.8940423091284122,0.9950902222151745,0.9425562154205369,0.8934403153042911,0.9916721155367827,1.0,1.0,0.9437622455712908,0.8938340403686268,0.9936904507739549,0.6887931644916534,0.8429787933826447,-0.15418562889099122,-0.1745904429029059,-0.13378081487907653,0.7503634691238403,0.26402985751628877,0.24213551087578195,0.2859242041567956,0.4938993394246719,0.4683404642322433,0.5194582146171005
rare_token,Tier-4,15233,0.9627176285467742,0.9335470917556369,0.9918881653379116,0.9586823003908431,0.9242890665582251,0.9930755342234612,1.0,1.0,0.9611034972844019,0.929867039432462,0.9923399551363419,0.6722426950931549,0.821742182970047,-0.1494994878768921,-0.1621645203449548,-0.1368344554088294,0.707297146320343,0.28421653509140016,0.2691963612445449,0.29923670893825544,0.516466366676454,0.5011370370278785,0.5317956963250294
rare_token,Tier-5,46849,0.9748033094766763,0.9519924970025004,0.9976141219508521,0.9717882340997919,0.950391114637717,0.9931853535618668,1.0,1.0,0.9729942642505458,0.9508413609779438,0.9951471675231478,0.6581856727600097,0.8116998314857483,-0.15351415872573854,-0.17657085197441386,-0.13045746547706322,0.680876362323761,0.29717632532119753,0.2860806650805727,0.30827198556182234,0.5300097478584315,0.5175857874432239,0.542433708273639
rare_token,Tier-6,192001,0.9717983858687376,0.9536401182698223,0.9899566534676528,0.9717983858687376,0.9536401182698223,0.9899566534676528,1.0,1.0,0.9717983858687376,0.9536401182698223,0.9899566534676528,0.6889711836973826,0.8359627048174539,-0.14699152112007138,-0.17185586464802746,-0.1221271775921153,0.666719114780426,0.30909085273742676,0.2995851039606176,0.3185966015142359,0.52725317382657,0.5156953819905477,0.5388109656625923
rare_token,Tier-7,744449,0.9627176285467742,0.9328893990114521,0.9925458580820964,0.9627176285467742,0.9328893990114521,0.9925458580820964,1.0,1.0,0.9627176285467745,0.9328893990114523,0.9925458580820966,0.7262493893504143,0.8584301680326462,-0.1321807786822319,-0.14899702052262231,-0.11536453684184152,0.6916841030120849,0.3205051124095917,0.31091460109679314,0.3300956237223902,0.5222261989223351,0.511364244552243,0.5330881532924272
syntactic,Tier-1,913,0.9869346733668343,0.9708710388927699,1.0029983078408986,0.9859296482412061,0.9702325327623126,1.0016267637200995,1.0,1.0,0.9867336683417085,0.9707620898374979,1.002705246845919,0.6989639639854431,0.8283651828765869,-0.1294012188911438,-0.1514998857461181,-0.10730255203616951,0.8283651828765869,0.18916959762573243,0.17947938934607768,0.19885980590538718,0.4770941752822422,0.4683874236605239,0.4858009269039605
syntactic,Tier-2,1825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.678422462940216,0.7949242234230042,-0.11650176048278808,-0.14131781297856572,-0.09168570798701045,0.7949242234230042,0.24601663947105407,0.23891439648339766,0.25311888245871045,0.5200009207726846,0.5134249114410913,0.5265769301042779
syntactic,Tier-3,5697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6539095044136047,0.7187996327877044,-0.06489012837409973,-0.0871263963508681,-0.042653860397331364,0.5858199000358582,0.32929850816726686,0.32539292225590094,0.3332040940786328,0.5854258973057818,0.5785902559867901,0.5922615386247734
syntactic,Tier-4,15489,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6525193274021148,0.7212524712085724,-0.06873314380645752,-0.087282045222047,-0.05018424239086805,0.5797314405441284,0.33452515602111815,0.3326674546448153,0.336382857397421,0.5871217708119005,0.5832265045920476,0.5910170370317535
syntactic,Tier-5,47361,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.649108499288559,0.7276795387268067,-0.07857103943824768,-0.09970539718564786,-0.05743668169084751,0.5911442399024963,0.33706387877464294,0.3351575644335185,0.33897019311576737,0.5862002825480566,0.5816422505712642,0.590758314524849
syntactic,Tier-6,193025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6828956266244253,0.7664137363433838,-0.08351810971895857,-0.09895282985600669,-0.06808338958191044,0.5864155173301697,0.34091726541519163,0.33983528619087616,0.3419992446395071,0.57514197060818,0.5697935040920548,0.5804904371243051
syntactic,Tier-7,746497,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7130395084619522,0.7846189320087433,-0.07157942354679107,-0.09574651093542813,-0.047412336158154024,0.5833912014961242,0.3441832959651947,0.34352448078201464,0.34484211114837476,0.5706442007456871,0.5653968061340965,0.5758915953572777
vpi_topic,Tier-1,929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6825369238853455,0.7726038694381714,-0.09006694555282593,-0.11803552729229672,-0.062098363813355144,0.7726038694381714,0.23275608718395233,0.22786118271569425,0.2376509916522104,0.5210640610929452,0.5156793025242402,0.5264488196616502
vpi_topic,Tier-2,1857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6955847024917603,0.7592732906341553,-0.06368858814239502,-0.09101915968664605,-0.036358016598143986,0.7592732906341553,0.27732087969779967,0.26759717976676656,0.2870445796288328,0.5469387224136083,0.5392294986376673,0.5546479461895493
vpi_topic,Tier-3,5761,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6551838397979737,0.698253047466278,-0.043069207668304445,-0.06766690029062591,-0.018471515045982982,0.5664247512817383,0.336966747045517,0.33619127859410425,0.33774221549692973,0.5959624024802583,0.5914540737580489,0.6004707312024677
vpi_topic,Tier-4,15617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6563096970319748,0.7093179762363434,-0.05300827920436859,-0.07834050838231485,-0.027676050026422334,0.5809938907623291,0.33885474801063536,0.3374353350264285,0.34027416099484226,0.5931820294334266,0.5841212778327998,0.6022427810340534
vpi_topic,Tier-5,47617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6477446973323822,0.7009103834629059,-0.05316568613052368,-0.07531673045081755,-0.031014641810229813,0.5585527181625366,0.34129860401153567,0.34020261990081657,0.34239458812225476,0.5971598066689541,0.5923132532985369,0.6020063600393712
vpi_topic,Tier-6,193537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6789803961912791,0.7375634988149008,-0.05858310262362161,-0.08111688035759415,-0.03604932488964908,0.5505154132843018,0.3429832994937897,0.3423142772414999,0.3436523217460795,0.5857522688241745,0.580115705207068,0.591388832441281
vpi_topic,Tier-7,747521,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7138675034046174,0.7798654347658157,-0.06599793136119843,-0.0918543246452634,-0.04014153807713346,0.5851155161857605,0.34443841576576234,0.3437803358798094,0.3450964956517153,0.5723513865170335,0.5691412688248983,0.5755615042091687
